H \ V,C,S,G,De,D,T,F,E,L,M,Bs,H,交流戦,H合計
C,,361611,378518,410528,407819,409199,,,,,,,264425,2232100
S,394380,,307464,365651,296376,349167,,,,,,,214784,1927822
G,524183,529534,,483158,524880,533317,,,,,,,407275,3002347
De,342823,345705,368459,,364427,370844,,,,,,,235664,2027922
D,361750,344647,408974,365795,,402880,,,,,,,262360,2146406
T,509875,515439,589697,477506,459335,,,,,,,,347124,2898976
F,,,,,,,,372175,331401,328170,365014,329547,242609,1968916
E,,,,,,,314884,,326017,295088,282878,288410,218727,1726004
L,,,,,,,358395,326640,,278276,241671,323239,234953,1763174
M,,,,,,,283682,297108,306967,,238393,299435,239548,1665133
Bs,,,,,,,248807,220061,280346,283420,,333592,259139,1625365
H,,,,,,,487704,423373,436397,404880,481190,,333010,2566554
交流戦,282420,224760,292270,257007,231753,239776,317365,302065,287934,257308,268616,298344,,3259618
V合計,2415431,2321696,2345382,2359645,2284590,2305183,2010837,1941422,1969062,1847142,1877762,1872567,3259618,28810337
